연도,화재유형,발화요인소분류,최초착화물소분류,장소소분류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
2021,"자동차,철도차량",,,자동차류
